publication_number,title,claim1,label
US-6430053-B1,Pluggable transceiver module having rotatable release and removal lever with living hinge,"A pluggable transceiver module for insertion into and removal from a host receptacle, the module comprising:
    a module housing configured for insertion into and removal from a host receptacle, the module housing having an electrical interface configured to mate with a corresponding electrical interface of the host receptacle; and
    a lever pivotably coupled to the module housing, the lever having an actuation portion external to the module housing when the module housing is inserted into the host receptacle, the lever configured to rotate to facilitate release of the module from the host receptacle and to facilitate removal of the module from the host receptacle;
    wherein the lever comprises a living hinge formed integrally with a body of the lever, the living hinge defining a pivot axis for rotation of the lever relative to the module housing.",ai_generated
US-6663803-B1,Fabrication of a fractally attributively delamination resistive composite structure,"A method for fabricating a fractally attributively delamination resistive composite structure, the method comprising:
providing a plurality of layers comprising composite materials;
forming at least one interface between at least two adjacent layers of the plurality of layers, wherein the at least one interface comprises a fractal geometry;
stacking the plurality of layers including said at least one interface with fractal geometry;
consolidating the stacked layers to form a unified composite structure;
wherein the fractal geometry of the at least one interface provides the unified composite structure with fractal attributes that enhance its resistance to delamination.",ai_generated
US-6424590-B1,Semiconductor device,"I will create a hypothetical but plausible structure for a semiconductor device to demonstrate standard claim formatting.

A semiconductor device, comprising:
a semiconductor substrate;
a channel region formed within the semiconductor substrate;
a three-dimensional gate structure laterally encompassing the channel region;
a composite high-k gate dielectric layer disposed between the three-dimensional gate structure and the channel region;
a source region and a drain region formed in the semiconductor substrate adjacent to the channel region; and
a plurality of metallic contacts electrically coupled to the source region and the drain region, respectively, wherein at least one of the plurality of metallic contacts extends over a portion of the three-dimensional gate structure.",ai_generated
US-6174448-B1,Method for stripping aluminum from a diffusion coating,"A method for stripping aluminum from a diffusion coating, the method comprising:
contacting a substrate having a diffusion coating thereon, said diffusion coating comprising aluminum, with a stripping solution;
wherein said stripping solution is an acidic solution comprising phosphoric acid and at least one fluoride-containing compound;
maintaining said contact at an elevated temperature for a time sufficient to remove at least a portion of the aluminum from said diffusion coating; and
subsequently rinsing said substrate to remove said stripping solution and stripped aluminum.",ai_generated
US-7828399-B1,Universal locker system,"A universal locker system, comprising:
a plurality of individually lockable storage compartments;
an electronic locking mechanism associated with each of the plurality of individually lockable storage compartments;
a central locker management controller coupled to each electronic locking mechanism;
at least one user interface module coupled to the central locker management controller, the at least one user interface module configured to receive an access credential from a user;
a display unit coupled to the central locker management controller, the display unit configured to present information to a user; and
a communication interface coupled to the central locker management controller, the communication interface configured to communicate with a remote server;
wherein the central locker management controller is configured to:
receive the access credential from the at least one user interface module;
validate the received access credential;
dynamically assign one of the plurality of individually lockable storage compartments to the user based on the validated access credential and an availability status of the plurality of individually lockable storage compartments; and
electronically control unlocking of the assigned individually lockable storage compartment via its associated electronic locking mechanism upon successful validation of the access credential.",ai_generated
US-6226105-B1,System for processing images by selecting appropriate document size,"A system for processing images by selecting appropriate document size, the system comprising:
an image input interface configured to receive image data;
a processing unit coupled to the image input interface;
a memory coupled to the processing unit, the memory storing instructions and a plurality of predefined document size criteria;
the processing unit being configured to execute instructions to:
analyze the received image data to determine one or more characteristics of the image content;
compare the determined image characteristics with the stored predefined document size criteria;
select an appropriate document size from a plurality of available document sizes based on the comparison;
process the image data according to the selected document size; and
output the processed image data.",ai_generated
US-6249393-B1,Disk drive having a write condition detector for suspending write operations while a transducer flying height deviates from its operating flying height,"A disk drive comprising:
a data storage disk;
a transducer configured to perform write operations to said data storage disk;
a controller configured to manage said write operations; and
a write condition detector coupled to said transducer and said controller, said write condition detector configured to detect when a flying height of said transducer deviates from a predetermined operating flying height and, in response to said detection, cause said controller to suspend said write operations.",ai_generated
US-6295493-B1,Vehicle roll rigidity control device,"A vehicle roll rigidity control device, comprising:
a sensor configured to detect at least one vehicle operating parameter indicative of a vehicle roll state;
a controller communicatively coupled to the sensor, the controller configured to determine a target roll rigidity based on the at least one vehicle operating parameter; and
an actuator communicatively coupled to the controller, the actuator configured to adjust a roll rigidity of the vehicle in accordance with the target roll rigidity.",ai_generated
US-6563821-B1,Channel bonding in a remote communications server system,"A remote communications server system, comprising:
    a plurality of communication interfaces, each communication interface configured to establish a distinct communication channel with a remote client;
    a processing unit operatively coupled to the plurality of communication interfaces;
    a memory operatively coupled to the processing unit, the memory storing computer-executable instructions;
    a channel bonding module, executed by the processing unit, configured to aggregate the plurality of distinct communication channels into a single logical communication link for data exchange with the remote client;
    said channel bonding module further configured to distribute outgoing data across the plurality of distinct communication channels according to a predefined load-balancing scheme; and
    said channel bonding module further configured to reassemble incoming data received via the plurality of distinct communication channels into a coherent data stream for processing by the remote communications server system.",ai_generated
US-7328841-B1,Method and system for transaction authorization,"A method for transaction authorization, comprising:
receiving, by a computing system, a transaction authorization request associated with a transaction initiated by a user;
obtaining, by the computing system, transaction details related to the transaction and user authentication data associated with the user;
performing, by the computing system, an authorization assessment based on the obtained transaction details and the user authentication data;
determining, by the computing system, an authorization decision based on the authorization assessment;
transmitting, by the computing system, the authorization decision to an initiating entity associated with the transaction; and
recording, by the computing system, the transaction details and the authorization decision in a secure data store.",ai_generated
US-6446258-B1,Interactive instruction scheduling and block ordering,"A method for optimizing program code execution, comprising:
receiving program code comprising a plurality of instructions organized into a plurality of basic blocks;
presenting to a user a representation of said program code along with a plurality of optimization options related to instruction scheduling within said basic blocks and basic block ordering;
receiving user input selecting one or more of said optimization options or directly modifying said instruction scheduling within said basic blocks or said basic block ordering;
dynamically applying said selected optimization options or said user modifications to generate an optimized instruction schedule for said instructions within said basic blocks and an optimized basic block order for said basic blocks; and
generating optimized program code based on said optimized instruction schedule and said optimized basic block order.",ai_generated
US-6228708-B1,Method of manufacturing high voltage mixed-mode device,"Here is an example of a patent claim 1 for the invention title 'Method of manufacturing high voltage mixed-mode device', formatted as requested:

A method of manufacturing a high voltage mixed-mode device, the method comprising:
providing a semiconductor substrate;
forming a plurality of low voltage (LV) active regions and a plurality of high voltage (HV) active regions on the semiconductor substrate;
selectively forming a first gate dielectric layer having a first thickness over the LV active regions;
selectively forming a second gate dielectric layer having a second thickness, greater than the first thickness, over the HV active regions;
forming gate electrodes over the first and second gate dielectric layers;
forming LV source/drain regions within the LV active regions, the LV source/drain regions having a first junction depth and a first doping concentration profile;
forming HV source/drain regions within the HV active regions, the HV source/drain regions having a second junction depth and a second doping concentration profile, wherein the second junction depth is greater than the first junction depth and the second doping concentration profile includes a drift region configured for high voltage operation;
forming isolation structures between at least some of the LV active regions and the HV active regions; and
forming conductive interconnects electrically coupled to the LV source/drain regions, the HV source/drain regions, and the gate electrodes, thereby forming the high voltage mixed-mode device.",ai_generated
US-6343300-B1,File updating method capable of updating an operation file without interrupting online processing,"A method for updating an operation file without interrupting online processing, the method comprising:
maintaining a first instance of an operation file as an active file, said active file being continuously accessed by ongoing online processing;
preparing a second instance of the operation file, wherein the second instance is distinct from the first instance and comprises updated data;
validating the second instance of the operation file to ensure its readiness for active use; and
switching access for the ongoing online processing from the first instance of the operation file to the second instance of the operation file, wherein said switching causes the ongoing online processing to seamlessly transition its access from the first instance to the second instance without interruption.",ai_generated
US-6340448-B1,Surface plasmon sensor,"1. A surface plasmon sensor, comprising:
   a substrate;
   a metal layer disposed on the substrate, said metal layer being configured to support surface plasmon resonance;
   an optical coupling element configured to couple light from a light source to the metal layer to excite said surface plasmon resonance;
   a sensing region disposed adjacent to the metal layer, said sensing region being configured to receive a sample; and
   a detector configured to detect a change in a characteristic of said surface plasmon resonance responsive to an interaction between the sample and the metal layer in the sensing region.",ai_generated
US-6381068-B1,Reflective projection screen and projection system,"1. A projection system comprising a projector configured to generate and emit an image-bearing light beam; and a reflective projection screen positioned to receive the image-bearing light beam from the projector, the reflective projection screen comprising a reflective surface structured and arranged to reflect the received image-bearing light beam towards a viewing area, wherein the reflective surface is characterized by a reflection property configured to enhance image contrast and brightness for an observer in the viewing area.",ai_generated
US-6236076-B1,Ferroelectric field effect transistors for nonvolatile memory applications having functional gradient material,"A ferroelectric field effect transistor device, comprising:
a substrate;
a source electrode disposed over the substrate;
a drain electrode disposed over the substrate, defining a channel region therebetween;
a gate stack disposed over the channel region, the gate stack comprising a ferroelectric layer; and
a gate electrode disposed over the gate stack;
wherein the ferroelectric layer exhibits a functional gradient.",ai_generated
US-6365935-B1,TFT having hydrogen containing buffer and substrate regions,"A thin-film transistor (TFT) comprising:
a hydrogen-containing substrate;
a hydrogen-containing buffer layer disposed over the hydrogen-containing substrate;
a semiconductor layer disposed over the hydrogen-containing buffer layer;
a gate insulator disposed over the semiconductor layer;
a gate electrode disposed over the gate insulator; and
a source electrode and a drain electrode electrically coupled to the semiconductor layer.",ai_generated
US-6831927-B1,Fault protection for hitless and errorless switching of telecommunications signals,"1. A system for fault protection for telecommunications signals, comprising:
   an input configured to receive an incoming telecommunications signal;
   a primary signal path coupled to said input, said primary signal path configured to convey said incoming telecommunications signal;
   a backup signal path coupled to said input, said backup signal path configured to convey said incoming telecommunications signal;
   a fault detection module coupled to said primary signal path, said fault detection module configured to detect a fault condition within said primary signal path;
   a switching module coupled to an output of said primary signal path and an output of said backup signal path, said switching module configured to select one of said primary signal path and said backup signal path as an active signal source;
   an output configured to provide an outgoing telecommunications signal from said active signal source; and
   a control module coupled to said fault detection module and said switching module, said control module configured to, upon detection of said fault condition by said fault detection module, command said switching module to switch from said primary signal path as the active signal source to said backup signal path as the active signal source;
   wherein said system is configured to perform said switch in a manner that ensures said outgoing telecommunications signal remains substantially hitless and substantially errorless throughout a transition period and after said transition period.",ai_generated
US-6207016-B1,Method for dividing a paper web,"A method for dividing a paper web, comprising:
advancing a continuous paper web along a path;
detecting a predetermined length of the continuous paper web;
actuating a cutting device in response to detecting the predetermined length; and
applying a cutting force via the cutting device to the continuous paper web at a location corresponding to the predetermined length, thereby severing the continuous paper web into at least two distinct sections.",ai_generated
US-6181577-B1,Auxiliary bias circuit for a power supply and a method of operation thereof,"1. An auxiliary bias circuit for a power supply, comprising:
an input terminal configured to receive a primary voltage from the power supply;
an output terminal configured to provide an auxiliary bias voltage to a control circuit of the power supply;
a voltage conversion stage coupled between the input terminal and the output terminal, the voltage conversion stage configured to generate the auxiliary bias voltage from the primary voltage;
a control module coupled to the voltage conversion stage, the control module configured to regulate the auxiliary bias voltage; and
a sensing module coupled to the power supply, the sensing module configured to detect an operational state of the power supply;
wherein the control module is further configured to enable the voltage conversion stage to provide the auxiliary bias voltage during a first operational state of the power supply, and to disable the voltage conversion stage or reduce its operation during a second operational state of the power supply when a main bias source is active.",ai_generated
US-6631171-B1,QPSK modulation signal receiving unit,"A QPSK modulation signal receiving unit, comprising:
an input configured to receive a QPSK modulated signal;
a downconverter coupled to the input and configured to convert the received QPSK modulated signal to a baseband signal or an intermediate frequency (IF) signal;
an analog-to-digital converter coupled to the downconverter and configured to digitize the baseband or IF signal;
a demodulator coupled to the analog-to-digital converter and configured to recover data symbols from the digitized baseband or IF signal by performing carrier synchronization and symbol timing synchronization; and
an output coupled to the demodulator and configured to provide the recovered data symbols.",ai_generated
US-6748122-B1,"Image processing apparatus, image processing method and image processing program storage medium","An image processing apparatus, comprising:
an input unit configured to receive image data;
a memory unit configured to store image data and image processing instructions;
a processing unit coupled to the input unit and the memory unit, the processing unit configured to execute the image processing instructions stored in the memory unit to perform an image processing operation on the received image data; and
an output unit coupled to the processing unit, the output unit configured to output processed image data resulting from the image processing operation.",ai_generated
US-7278342-B1,Tool connecting device,"1. A tool connecting device, comprising:
    a main body having a first end and a second end;
    a first coupling structure disposed at the first end, the first coupling structure configured to interface with a drive element;
    a second coupling structure disposed at the second end, the second coupling structure configured to interface with a tool element;
    a locking mechanism movably supported by the main body, the locking mechanism configured to selectively engage and retain the tool element within the second coupling structure; and
    an actuation member operatively coupled to the locking mechanism, the actuation member configured to transition the locking mechanism between an engaged state and a disengaged state.",ai_generated
US-6248170-B1,Swab device for coating an element,"A swab device for coating an element, the device comprising:
an elongated shaft having a first end and a second end;
an applicator head coupled to the first end of the elongated shaft;
wherein the applicator head comprises an absorbent material configured to retain a coating substance; and
wherein the applicator head is further configured to uniformly apply the retained coating substance onto a surface of an element.",ai_generated
US-6224569-B1,Compact needle point shield,"A compact needle point shield comprising:
a body having a first end and a second end, the first end defining an aperture configured to receive a needle point;
and a protective member operably coupled to the body, the protective member being movable between a deployed position, wherein the protective member extends from the first end to cover the needle point, and a stowed position, wherein the protective member is retracted substantially within the body to provide a compact profile.",ai_generated
US-7048727-B1,Continuous feeding and decompressing device and method,"A device for continuous feeding and decompressing material, comprising:
a housing defining an interior volume;
an inlet port in fluid communication with the interior volume for receiving a material;
a continuous feeding mechanism positioned within the interior volume, coupled to the inlet port, and configured to continuously convey the material from the inlet port;
a decompression chamber defined within the interior volume and in fluid communication with the continuous feeding mechanism, wherein the decompression chamber is configured to reduce pressure on the conveyed material;
a vacuum source coupled to the decompression chamber and configured to evacuate gas from the decompression chamber to maintain a reduced pressure therein; and
an outlet port in fluid communication with the decompression chamber for discharging the decompressed material.",ai_generated
US-6315297-B1,Seal,"What is claimed is:

1.  A seal, comprising:
    a resilient sealing member having a predefined cross-sectional profile;
    said resilient sealing member further comprising at least a first contact surface and a second contact surface;
    wherein the first contact surface is configured to form a fluid-tight interface with a first structural element;
    wherein the second contact surface is configured to form a fluid-tight interface with a second structural element; and
    wherein the resilient sealing member is dimensioned to be compressively engaged between the first structural element and the second structural element to block fluid passage therebetween.",ai_generated
US-6903558-B1,Digitizing ohmmeter system,"An ohmmeter system, comprising:
a current source configured to apply a known current across an unknown resistance;
a voltage sensing circuit configured to measure an analog voltage drop across the unknown resistance;
an analog-to-digital converter operably coupled to the voltage sensing circuit, the analog-to-digital converter configured to convert the measured analog voltage drop into a digital voltage signal;
a processing unit operably coupled to the analog-to-digital converter, the processing unit configured to calculate a digital resistance value based on the known current and the digital voltage signal; and
an output interface operably coupled to the processing unit, the output interface configured to present the digital resistance value.",ai_generated
US-6221241-B1,Process for removal of sulphur together with other contaminants from fluids,"A method for removing sulfur and at least one other contaminant from a fluid, comprising:
contacting said fluid with an adsorbent material effective to adsorb sulfur compounds and said at least one other contaminant from said fluid under conditions effective for adsorption;
separating said fluid from said adsorbent material to yield a treated fluid having reduced concentrations of sulfur compounds and said at least one other contaminant; and
regenerating said adsorbent material to remove adsorbed sulfur compounds and said at least one other contaminant therefrom, thereby preparing said adsorbent material for subsequent use.",ai_generated
US-6444033-B1,Article comprising a diffuser with flow control features,"1. An article, comprising:
a diffuser having an inlet and an outlet, the diffuser configured to receive a fluid flow at the inlet and discharge the fluid flow from the outlet; and
at least one flow control feature integrated with the diffuser, wherein the at least one flow control feature is configured to modify at least one characteristic of the fluid flow between the inlet and the outlet of the diffuser.",ai_generated
US-6657628-B1,"Method and apparatus for specification, control and modulation of social primitives in animated characters","A method for specification, control, and modulation of social primitives in animated characters, the method comprising:
specifying a plurality of social primitives, wherein each social primitive represents a fundamental unit of social behavior for an animated character;
controlling an application of at least one social primitive from the plurality of social primitives to an animated character based on a contextual input relevant to the animated character; and
modulating at least one characteristic parameter of the applied social primitive to dynamically adjust a nuance of the fundamental unit of social behavior exhibited by the animated character.",ai_generated
US-6420791-B1,Alignment mark design,"An alignment mark design comprising a plurality of geometric features arranged in a pattern; wherein said geometric features have predetermined shapes and dimensions; wherein said pattern establishes a predefined spatial relationship between said geometric features; and wherein said predetermined shapes, dimensions, and spatial relationship are configured to facilitate generation of a measurable signal indicative of relative positional alignment between a first component and a second component.",ai_generated
US-6898437-B1,Power adaption in a multi-station network,"A method for power adaptation in a multi-station network, the method comprising:
receiving, by a first station of the multi-station network, a communication signal from at least one other station of the multi-station network;
evaluating, by the first station, a characteristic of a communication channel based on the received communication signal;
determining, by the first station, a transmit power level for subsequent transmissions based on the evaluated characteristic; and
transmitting, by the first station, a subsequent communication signal using the determined transmit power level;
wherein the determined transmit power level is configured to maintain a target communication quality for the subsequent communication signal while substantially optimizing energy efficiency of the first station.",ai_generated
US-6463328-B1,Adaptive brain stimulation method and system,"A method for adaptive brain stimulation, comprising:
acquiring brain activity data from a subject;
analyzing the acquired brain activity data to determine a current brain state of the subject;
comparing the current brain state to a target brain state or a therapeutic goal;
adjusting one or more stimulation parameters of a brain stimulation signal based on said comparison; and
delivering the brain stimulation signal having the adjusted stimulation parameters to a brain region of the subject.",ai_generated
US-6529209-B1,Method for providing privately viewable data in a publically viewable display,"A method for providing privately viewable data in a publically viewable display, the method comprising:
displaying public information on a public display device, said public display device being viewable by a plurality of individuals;
identifying at least one authorized individual from said plurality of individuals;
generating private information associated with said public information; and
optically presenting said private information such that said private information is spatially aligned with said public information on said public display device and is visually perceptible by said at least one authorized individual through an authorized viewing mechanism and substantially visually imperceptible by unauthorized individuals without said authorized viewing mechanism.",ai_generated
US-6856598-B1,Communications system,"A communications system, comprising:
a transmitter configured to generate and transmit a data signal representing information;
a receiver configured to receive said data signal and to extract said information therefrom; and
a communication medium coupling said transmitter and said receiver;
wherein said transmitter and said receiver are configured to operate according to a predetermined communication protocol to facilitate said transmission and reception of said data signal.",ai_generated
