publication_number,title,claims,claim1,label
US-6430053-B1,Pluggable transceiver module having rotatable release and removal lever with living hinge,"We claim:  
       
       1. A pluggable transceiver module, comprising: 
       a housing having a first side and a face substantially perpendicular to the first side, and a tab extending beyond the surface of the first side, and the tab sized to mate with a slot in a receptacle of a host device for receiving the pluggable transceiver module housing;  
       a member slidably mounted to the first side of the housing and having an internal end and an external end;  
       a wedge on the internal end of the member, wherein sliding the member inward causes the wedge to slide between the tab and the slot on the receptacle and remove the tab from within the slot, thereby releasing the pluggable transceiver module from the receptacle; and  
       a lever rotatably mounted via an axle proximate to the face of the pluggable transceiver module, said axle be connected to the external end of the member such that rotating the lever away from the face of the pluggable transceiver cause the rotating axle to push the member inward and drive the wedge between the tab and the slot in order to release the pluggable transceiver module from the receptacle.  
     
         
       2. The pluggable transceiver of  claim 1 , further comprising: 
       a cross-bar on a free end of the lever.  
     
         
       3. The pluggable transceiver of  claim 2 , further comprising: 
       a ridge on and parallel to the cross-bar.  
     
         
       4. The pluggable transceiver module of  claim 1 , wherein the lever is pulled away from the face of the pluggable transceiver module in order to release the pluggable transceiver module from a receptacle. 
     
         
       5. The pluggable transceiver module of  claim 1 , further comprising: 
       a receptacle for receiving the pluggable transceiver module, the receptacle having a base including the slot for receiving the tab, whereby the first side of the pluggable transceiver module slides along the base during insertion of the pluggable transceiver module into the receptacle, and the tab enters the slot in order to secure the pluggable transceiver module within the receptacle.  
     
         
       6. The pluggable transceiver module of  claim 1 , wherein the tab is triangular in shape. 
     
         
       7. The pluggable transceiver module of  claim 1 , wherein the axle is connected to the external end of the member via a flexible member. 
     
         
       8. The pluggable transceiver module of  claim 1 , wherein the axle is connected to the external end of the member via a hinge. 
     
         
       9. The pluggable transceiver module of  claim 1 , wherein the axle is connected to the external end of the member via a living hinge. 
     
         
       10. The pluggable transceiver module of  claim 1 , wherein the member is slidably mounted within a slit on the first side of the pluggable transceiver module. 
     
         
       11. The connector module of  claim 1 , further comprising: 
       an optical input socket and an optical output socket.  
     
         
       12. The connector of  claim 1 , wherein the member is elongated between the internal end and the external end. 
     
         
       13. A pluggable transceiver module and receptacle, comprising: 
       a receptacle of a host device for receiving a pluggable transceiver module, the receptacle having a base including a slot for receiving a tab of a pluggable transceiver module during insertion into the receptacle;  
       a pluggable transceiver module having a housing with a first side and a face perpendicular to the first side, a tab extending beyond the surface of the first side, and the tab sized to mate with the slot in the receptacle, wherein the first side of the pluggable transceiver module slides along the base during insertion of the pluggable transceiver module into the receptacle, and the tab enters the slot in order to secure the pluggable transceiver module within the receptacle;  
       a member slidably mounted on the first side of the housing having an internal end and an external end;  
       a wedge on the internal end of the member, wherein sliding the member causes the wedge to slide between the tab and the slot on the receptacle and remove the tab from within the slot, thereby releasing the pluggable transceiver module from the receptacle; and  
       a lever rotatably mounted via an axle proximate the face of the pluggable transceiver module, said axle be connected to the external end of the member such that rotating the lever away from the face of the pluggable transceiver cause the rotating axle to push the member inward and drive the wedge between the tab and the slot in order to release the pluggable transceiver module from the receptacle.  
     
         
       14. A pluggable transceiver module, comprising: 
       a pluggable transceiver module having a housing with a first side and a face perpendicular to the first side, a tab extending beyond the surface of the first side, and the tab sized to mate with a slot in a receptacle, wherein the first side of the pluggable transceiver module slides along a base of the receptacle during insertion of the pluggable transceiver module into the receptacle, and the tab enters a slot in the base of the receptacle in order to secure the pluggable transceiver module within the receptacle;  
       an elongated member slidably mounted on the first side of the pluggable transceiver module proximate the tab, the elongated member having an internal end and an external end;  
       a wedge on the internal end of the elongated member, wherein pushing the elongated member inward causes the wedge to slide between the tab and the slot on the receptacle and remove the tab from within the slot, thereby releasing the transceiver module from the receptacle;  
       a knob mounted to the external end of the elongated member, the knob including a recess that enables a person to at least partially insert a fingernail to easily grip and remove the pluggable transceiver module from the receptacle; and  
       a ridge formed at a juncture between the external end of the member and the knob, wherein the ridge also enables a person to grip and remove the pluggable transceiver module from the receptacle."," A pluggable transceiver module, comprising: 
       a housing having a first side and a face substantially perpendicular to the first side, and a tab extending beyond the surface of the first side, and the tab sized to mate with a slot in a receptacle of a host device for receiving the pluggable transceiver module housing;  
       a member slidably mounted to the first side of the housing and having an internal end and an external end;  
       a wedge on the internal end of the member, wherein sliding the member inward causes the wedge to slide between the tab and the slot on the receptacle and remove the tab from within the slot, thereby releasing the pluggable transceiver module from the receptacle; and  
       a lever rotatably mounted via an axle proximate to the face of the pluggable transceiver module, said axle be connected to the external end of the member such that rotating the lever away from the face of the pluggable transceiver cause the rotating axle to push the member inward and drive the wedge between the tab and the slot in order to release the pluggable transceiver module from the receptacle.  ",human
US-6663803-B1,Fabrication of a fractally attributively delamination resistive composite structure,"What is claimed is:  
       
       1. A method for making a composite structure, comprising: 
       providing a metal mold having a mold surface which defines a mold fractal profile;  
       resin transfer molding a first lamina having a first laminal surface which defines a first laminal fractal profile which is effected by said mold fractal profile; and  
       resin transfer molding a second lamina onto said first laminal surface of said first lamina, said second lamina having a second laminal surface which defines a second laminal fractal profile which is effected by said first laminal fractal profile, said first and second laminal surfaces being joined so as to form an interfacial fractal profile.  
     
         
       2. A method for making a composite structure as recited in  claim 1 , wherein said providing a metal mold includes making said metal mold, and wherein said making said metal mold includes effectuating wire electrical discharge machining. 
     
         
       3. A method for making a composite structure as recited in  claim 2 , wherein said effectuating wire electrical discharge machining includes using a wire which is at least approximately 0.02 inches in diameter. 
     
         
       4. A method for making a composite structure as recited in  claim 2 , wherein said effectuating wire electrical discharge machining includes using a wire which is in the range beween approximately 0.02 inches and 0.04 inches in diameter. 
     
         
       5. A method for making a composite structure as recited in  claim 2 , wherein said making said metal mold includes effectuating computer numerical control of said electrical discharge machining. 
     
         
       6. A method for making a composite structure as recited in  claim 2 , wherein said effectuating computer numerical control includes using algorithmic means for determining said mold fractal profile. 
     
         
       7. A method for making a composite structure as recited in  claim 6 , wherein said mold fractal profile is characterized by at least one of: 
       a fractal dimension of at least approximately 1.4; and  
       a scale fineness of at least approximately 10.  
     
         
       8. A method for making a composite structure as recited in  claim 2 , wherein said mold surface is characterized by mold corrugations commensurate with said mold fractal profile, and wherein said resin transfer molding a first lamina includes snugly disposing at least one fiber with respect to each of at least some said mold corrugations. 
     
         
       9. A method for making a composite structure ass recited in  claim 8 , wherein said first laminal surface is characterized by first laminal corrugations commensurate with said first laminal fractal profile, and wherein said resin transfer molding a second lamina includes snugly disposing at least one fiber with respect to each of at least some said first laminal corrugations. 
     
         
       10. A method for making a composite structure as recited in  claim 1 , wherein said first laminal surface is characterized by first laminal corrugations commensurate with said first laminal fractal profile, and wherein said resin transfer molding a second lamina includes snugly disposing at least one fiber with respect to each of some said first laminal corrugations. 
     
         
       11. A method for making a composite structure as recited in  claim 1 , comprising secondarily bonding said second laminal surface with respect to said first laminal surface, in association with said resin transfer molding a second lamina. 
     
         
       12. A method of making a laminate, said method comprising: 
       (a) providing a mold having a mold surface characterized by straight mold corrugations, said mold corrugations defining, unidirectionally uniformly throughout said mold surface, a fractal mold profile;  
       (b) placing multiple straight continuous parallel first fibers within and in parallel with said mold corrugations;  
       (c) making a first layer of said laminate, said making said first layer including using said mold and said first fibers, wherein said first layer includes said first fibers and has a first layer surface characterized by straight first layer corrugations, said first layer corrugations defining, unidirectionally uniformly at least substantially throughout said first layer surface, a fractal first layer profile which is invertedly harmonious with said fractal mold profile;  
       (d) placing multiple straight continuous parallel second fibers within and in parallel with said first layer corrugations; and  
       (e) making a second layer of said laminate, said making said second layer including using said first layer and said second fibers, wherein said second layer includes said second fibers and has a second layer surface characterized by straight second layer corrugations, said second layer corrugations defining, unidirectionally uniformly at least substantially throughout said second layer surface, a fractal second layer profile which is invertedly harmonious with said fractal first layer profile profile and which is comparable with said fractal mold profile to form an interfacial fractal profile.  
     
         
       13. The method according to  claim 12 , wherein: 
       said making said second layer is performed so that bonding of said first layer and said second layer is effected secondarily to said making a second layer;  
       said first layer corrugations and said second layer corrugations are complementarily joined; and  
       said first fibers, said second fibers, said first layer corrugations and said second layer corrugations are oriented at least substantially in parallel.  
     
         
       14. The method according to  claim 12 , wherein: 
       said mold is made of a metallic material;  
       said providing said mold includes making said mold: and  
       said making said mold includes wirecut electrical discharge machining said mold.  
     
         
       15. The method according to  claim 14 , wherein said wirecut electrical discharge machining includes selectively forming said fractal mold profile so as to be representative of a recursive mathematical function. 
     
         
       16. The method according to  claim 15 , wherein said wirecut electrical discharge machining includes using a wire, and wherein said selectively forming said fractal mold profile includes controlling said wire using computer numerical control. 
     
         
       17. The method according to  claim 16 , wherein: 
       said making said second layer is performed so that bonding of said first layer and said second layer is effected secondarily to said making a second layer;  
       said first layer corrugations and said second layer corrugations are complementarily joined; and  
       said first fibers, said second fibers, said first layer corrugations and said second layer corrugations are oriented at least substantially in parallel.  
     
         
       18. The method according to  claim 17 , wherein: 
       said mold is characterized by a mold length;  
       said mold corrugations are lengthwise corrugations;  
       said placing said first fibers includes placing continuous said first fibers at least substantially across the entire said mold length;  
       said first layer is characterized by a first layer length;  
       said first layer corrugations are lengthwise corrugations;  
       said placing said second fibers includes placing continuous said second fibers at least substantially across the entire said first layer length length.  
     
         
       19. A method of making a composite laminate object, said method comprising: 
       providing a mold having a mold surface, said mold surface defining an at least substantially fractally profiled, at least approximately parallel, mold grooves-and-ridges configuration;  
       positioning a first plurality of fibers along at least some said grooves of said mold;  
       using said mold combined with said first plurality of fibers positioned in its grooves, resin transfer molding a first laminar portion, said first laminar portion thereby defining an at least substantially fractally profiled, at least approximately parallel, first laminar portion grooves-and-ridges configuration, said first laminar portion grooves-and-ridges configuration being at least substantially complementary with respect to said mold grooves-and-ridges configuration, said first laminar portion including, in its ridges, at least substantially all of said first plurality of fibers;  
       positioning a second plurality of fibers along at least some said grooves of said first laminar portion; and  
       using said first laminar portion combined with said second plurality of fibers positioned in its grooves, resin transfer molding a second laminar portion, said second laminar portion thereby defining an at least substantially fractally profiled, at least approximately parallel, second laminar portion grooves-and-ridges configuration, forming an interfacial fractal profile, said second laminar portion grooves-and-ridges configuration being at least substantially complementary with respect to said first laminar portion grooves-and-ridges configuration, said second laminar portion including, in its ridges, at least substantially all of said second plurality of fibers.  
     
         
       20. A method as defined in  claim 19 , wherein: 
       said mold includes a metal material;  
       said providing said mold includes rendering said mold grooves-and-ridges configuration in at least some said metal material in accordance with a recursive mathematical function; and  
       said resin transfer molding of said second laminar portion is accompanied by at least some degree of secondary bonding of said first lamar portion and said second laminar portion at least substantially in accordance with said at least substantial complementarity of said first laminar portion groove-and-ridges configuration and said second laminar portion grooves-and-ridges configuration."," A method for making a composite structure, comprising: 
       providing a metal mold having a mold surface which defines a mold fractal profile;  
       resin transfer molding a first lamina having a first laminal surface which defines a first laminal fractal profile which is effected by said mold fractal profile; and  
       resin transfer molding a second lamina onto said first laminal surface of said first lamina, said second lamina having a second laminal surface which defines a second laminal fractal profile which is effected by said first laminal fractal profile, said first and second laminal surfaces being joined so as to form an interfacial fractal profile.  ",human
US-6424590-B1,Semiconductor device,"What is claimed is:  
       
       1. A semiconductor device, comprising: 
       a plurality of address input terminals;  
       a plurality of address input buffers provided in association with the plurality of address input terminals;  
       a clock terminal which receives a clock signal therein;  
       a plurality of memory cells each having a select terminal connected to each of word lines and a data input/output terminal connected to each of bit lines; and  
       a control circuit which controls the operation of writing data into the memory cells and the operation of reading data from the memory cells in synchronism with the clock signal; and  
       said control circuit provides instructions for a word line selecting operation based on a row address according to a bank active command, provides instructions for a data reading operation having specified each bit line bases a column address according to a read command, provides instructions for a data write operation having specified each bit line based on a column address according to a write command and provides instructions for the initialization of each word line according to a precharge command, and changes said address input buffer from an inactive state to an state after the reception of the bank active command, the read command or the write command and thereafter changes said address input buffer from the active state to the inactive state when writing for the elapse of a predetermined cycle period synchronized with the clock signal."," A semiconductor device, comprising: 
       a plurality of address input terminals;  
       a plurality of address input buffers provided in association with the plurality of address input terminals;  
       a clock terminal which receives a clock signal therein;  
       a plurality of memory cells each having a select terminal connected to each of word lines and a data input/output terminal connected to each of bit lines; and  
       a control circuit which controls the operation of writing data into the memory cells and the operation of reading data from the memory cells in synchronism with the clock signal; and  
       said control circuit provides instructions for a word line selecting operation based on a row address according to a bank active command, provides instructions for a data reading operation having specified each bit line bases a column address according to a read command, provides instructions for a data write operation having specified each bit line based on a column address according to a write command and provides instructions for the initialization of each word line according to a precharge command, and changes said address input buffer from an inactive state to an state after the reception of the bank active command, the read command or the write command and thereafter changes said address input buffer from the active state to the inactive state when writing for the elapse of a predetermined cycle period synchronized with the clock signal.",human
US-6174448-B1,Method for stripping aluminum from a diffusion coating,"What is claimed is:  
       
       1. A method for removing a diffusion aluminide coating on a metallic substrate, the method comprising the steps of: 
       preparing a mixture comprising a halogen-containing activator and a metallic powder containing an aluminide-forming metal and less than 1 weight percent aluminum;  
       contacting the diffusion aluminide coating with the mixture; and  
       heating the mixture in an inert or reducing atmosphere to a temperature sufficient to vaporize the halogen-containing activator and for a duration sufficient to cause the halogen-containing activator to remove aluminum from at least a portion of the diffusion aluminide coating without removing aluminum from the metallic substrate.  
     
         
       2. A method as recited in claim  1 , wherein the diffusion aluminide coating comprises an additive layer and a diffusion layer between the additive layer and the metallic substrate. 
     
         
       3. A method as recited in claim  2 , wherein the heating step causes removal of aluminum from the additive and diffusion layers. 
     
         
       4. A method as recited in claim  2 , further comprising the step of removing the additive layer prior to the contacting step, such that the heating step entails removing aluminum from only the diffusion layer. 
     
         
       5. A method as recited in claim  2 , wherein the step of removing the additive layer is a stripping operation chosen from the group consisting of chemical and mechanical stripping techniques. 
     
         
       6. A method as recited in claim  1 , wherein the mixture consists essentially of at least about 0.05 weight percent of the halogen-containing activator, about 5 to about 80 weight percent of the metallic powder, with the balance being an inert diluent. 
     
         
       7. A method as recited in claim  1 , wherein the contacting and heating steps constitute a pack diffusion process. 
     
         
       8. A method as recited in claim  1 , wherein the metallic powder comprises, by weight, at least about 60% nickel and less than 1% aluminum. 
     
         
       9. A method as recited in claim  1 , wherein the halide-containing activator is one or more halides chosen from the group consisting of aluminum, chromium and ammonium halides. 
     
         
       10. A method as recited in claim  1 , wherein the metallic substrate is a component of a gas turbine engine. 
     
         
       11. A method for removing a diffusion aluminide coating on a nickel-base superalloy substrate of a gas turbine engine component, the diffusion aluminide coating comprising an additive layer and a diffusion layer between the additive layer and the substrate, the method comprising the steps of: 
       preparing a mixture comprising a halogen-containing activator, a metallic powder containing nickel and less than 1 weight percent aluminum, and an inert diluent;  
       packing the component in the mixture such that the mixture contacts the diffusion aluminide coating; and  
       heating the mixture and component to a temperature of at least 925° C. to vaporize the halogen-containing activator and for a duration sufficient to cause the halogen-containing activator to remove aluminum from at least a portion of the diffusion aluminide coating without damaging or removing aluminum from the substrate.  
     
         
       12. A method as recited in claim  11 , wherein the heating step causes removal of aluminum from the additive and diffusion layers. 
     
         
       13. A method as recited in claim  11 , further comprising the step of removing the additive layer prior to the packing step, such that the heating step entails removing aluminum from only the diffusion layer. 
     
         
       14. A method as recited in claim  11 , wherein the step of removing the additive layer is a stripping operation chosen from the group consisting of chemical and mechanical stripping techniques. 
     
         
       15. A method as recited in claim  11 , wherein the mixture consists essentially of about 0.05 to about 5 weight percent of the halogen-containing activator, about 5 to about 80 weight percent of the metallic powder, with the balance being the inert diluent. 
     
         
       16. A method as recited in claim  11 , wherein the inert diluent comprises an alumina powder. 
     
         
       17. A method as recited in claim  11 , wherein the metallic powder comprises, by weight, at least about 60% nickel and less than 1% aluminum. 
     
         
       18. A method as recited in claim  11 , wherein the halide-containing activator is one or more halides chosen from the group consisting of aluminum, chromium and ammonium halides. 
     
         
       19. A method as recited in claim  11 , wherein the diffusion aluminide coating is a platinum aluminide diffusion coating. 
     
         
       20. A method for removing a diffusion aluminide coating on a nickel-base superalloy substrate of a gas turbine engine component, the diffusion aluminide coating comprising an additive layer and a diffusion layer between the additive layer and the substrate, the method comprising the steps of: 
       preparing a mixture consisting essentially of about 0.05 to about 5 weight percent of a halogen-containing activator powder, about 5 to about 80 weight percent of a nickel-containing metallic powder, the balance being an inert diluent powder, the halogen-containing activator powder being chosen from the group consisting of aluminum, chromium and ammonium halides, the nickel-containing metallic powder comprising, by weight, at least about 60% nickel and less than 1% aluminum;  
       packing the component in the mixture such that the mixture contacts the diffusion aluminide coating; and  
       heating the mixture and component to a temperature of at least 925° C. to vaporize the halogen-containing activator and for a duration sufficient to cause the halogen-containing activator to remove aluminum from the additive and diffusion layers of the diffusion aluminide coating without damaging or removing aluminum from the substrate.","A method for removing a diffusion aluminide coating on a metallic substrate, the method comprising the steps of: 
       preparing a mixture comprising a halogen-containing activator and a metallic powder containing an aluminide-forming metal and less than 1 weight percent aluminum;  
       contacting the diffusion aluminide coating with the mixture; and  
       heating the mixture in an inert or reducing atmosphere to a temperature sufficient to vaporize the halogen-containing activator and for a duration sufficient to cause the halogen-containing activator to remove aluminum from at least a portion of the diffusion aluminide coating without removing aluminum from the metallic substrate.",human
US-7828399-B1,Universal locker system,"1. A locker system, comprising:
 (a) a housing, said housing having
 a left wall, 
 a right wall, 
 a rear wall, 
 a top, and 
 a bottom; 
 
 (b) at least one divider, said left wall, said right wall, said rear wall, said top and said bottom being formed to define an enclosure, said left wall and said right wall formed to receive said at least one divider at plural pre-selected heights between said top and said bottom so that any one divider of said at least one divider may be supported by said left and said right walls at any one of said plural preselected heights; 
 (c) at least two doors; 
 (d) a hinge pivotally connecting said at least two doors to said housing, said hinge being formed of a stack of hinge segments, the lengths of said hinge segments in said stack of hinge segments being approximately equal to the distances between said preselected heights to hingedly support doors of various heights, wherein said hinge holds said at least two doors slightly away from said housing when said at least two doors are closed to allow venting of the interior of said housing; and 
 (e) a latch mechanism for holding said at least two doors to said housing. 
 
     
         
       2. The locker system as recited in  claim 1 , wherein said housing is formed to have plural vent holes. 
     
         
       3. The locker system as recited in  claim 2 , wherein said top and said bottom are formed to have plural vent holes. 
     
         
       4. The locker system as recited in  claim 1 , wherein said left wall, said right wall, said top and said bottom have grooves formed therein dimensioned to receive said rear wall. 
     
         
       5. The locker system as recited in  claim 1 , further comprising a decorative end panel attached to said right wall or said left wall. 
     
         
       6. The locker system as recited in  claim 1 , wherein said at least two doors includes a taller door and a shorter door. 
     
         
       7. The locker system as recited in  claim 1 , wherein said at least one divider further comprises an upper level, a lower level and a connector. 
     
         
       8. The locker system as recited in  claim 1 , wherein said left wall and said right wall are formed to have mortises at said preselected heights and said divider has tenons fitting in said mortises. 
     
         
       9. The locker system as recited in  claim 1 , further comprising adjustable legs supporting said bottom. 
     
         
       10. The locker system as recited in  claim 9 , further comprising a toe kick board surrounding said adjustable legs."," A locker system, comprising:
 (a) a housing, said housing having
 a left wall, 
 a right wall, 
 a rear wall, 
 a top, and 
 a bottom; 
 
 (b) at least one divider, said left wall, said right wall, said rear wall, said top and said bottom being formed to define an enclosure, said left wall and said right wall formed to receive said at least one divider at plural pre-selected heights between said top and said bottom so that any one divider of said at least one divider may be supported by said left and said right walls at any one of said plural preselected heights; 
 (c) at least two doors; 
 (d) a hinge pivotally connecting said at least two doors to said housing, said hinge being formed of a stack of hinge segments, the lengths of said hinge segments in said stack of hinge segments being approximately equal to the distances between said preselected heights to hingedly support doors of various heights, wherein said hinge holds said at least two doors slightly away from said housing when said at least two doors are closed to allow venting of the interior of said housing; and 
 (e) a latch mechanism for holding said at least two doors to said housing. ",human
US-6226105-B1,System for processing images by selecting appropriate document size,"What I claim is:  
       
       1. An image processing system for processing an image carried on a document having a document size selected from a plurality of document sizes, comprising: 
       an image reader for sensing a first image carried on the document in an area substantially equal to a maximum document size of the plurality of document sizes, and producing an image signal representing the first image;  
       a display circuit having a display screen for clipping at least part of the first image represented by the image signal with each of a plurality of frames corresponding to the plurality of document sizes without being enlarged or reduced to form a corresponding plurality of second images, and displaying the plurality of second images in parallel with each other on the display screen, each of the second images being enclosed with corresponding one of the plurality of frames;  
       a selection operation unit for selecting one of the plurality of second images displayed by said display circuit; and  
       an image processor for processing the one second image selected by said selection operation unit in accordance with the document size corresponding to the frame with which the one second image is formed in combination.  
     
         
       2. The system in accordance with claim  1 , wherein said image reader comprises a flat-bed type image scanner with a flat scanner surface on which the document is placed, said image scanner scanning the document in a scanning field defined by the maximum independently of an actual document size of the document placed on said image scanner. 
     
         
       3. The system in accordance with claim  2 , wherein said image scanner comprises a paper depressor for pressing the document placed thereon against the scanner surface, said paper depressor being provided, on a surface opposite to the scanner surface, with borders indicative of scanning fields associated with the document sizes, and with marks added outside the borders each to represent the document sizes, said borders and marks being sensible by said image reader in conjunction with the sensed image. 
     
         
       4. The system in accordance with claim  1 , wherein said display circuit displays the plurality of frames whose sizes are determined in advance in accordance with the document sizes, and displays in said frames images which are clipped, in accordance with the document sizes, from the image sensed by said image reader, and are applied to said frames. 
     
         
       5. The system in accordance with claim  4 , wherein said display circuit displays the images in said frames in a manner that they are rotatable together with the frames. 
     
         
       6. The system in accordance with claim  1 , wherein said display circuit displays the plurality of frames whose sizes are determined in advance in accordance with the document sizes, and displays in said frames images which are clipped, in accordance with the document sizes, from the image sensed by said image reader, undergo scaling to nearly a same size, and are applied to said frames. 
     
         
       7. The system in accordance with claim  1 , wherein said display circuit displays the plurality of frames whose sizes are determined in advance in accordance with the document sizes, and displays in said frames images which are clipped, in accordance with the document sizes, from the image sensed by said image reader, and are applied to said frames, said images in said frames including first regions to be processed by said image processor and second regions not to be processed by said image processor, said first regions and second regions being displayed in a visually distinguishable manner. 
     
         
       8. The system in accordance with claim  7 , wherein said display circuit displays said first regions and second regions with luminances different from each other. 
     
         
       9. The system in accordance with claim  7 , wherein said display circuit displays said first regions and second regions with shadowing either of said first and second regions. 
     
         
       10. The system in accordance with claim  1 , wherein said selection operation unit comprises a touch panel provided over a screen of said display unit, and selects an image size by detecting one of the second images that is touched on said display circuit. 
     
         
       11. The system in accordance with claim  1 , further comprising a printer for printing an image processed by said image processor on paper. 
     
         
       12. The system in accordance with claim  11 , wherein said image processor supplies said printer with data of images on which said image processor performs processing including enlarging or reducing in accordance with a plurality of printing sizes, and said printer prints the images supplied thereto in said plurality of printing sizes. 
     
         
       13. The system in accordance with claim  1 , wherein said image processor comprises an image combiner for combining the one second image selected by said selection operation unit with an image prepared in advance. 
     
         
       14. The system in accordance with claim  13 , wherein said image combiner combines a plurality of images sensed by said image reader into a single picture. 
     
         
       15. The system in accordance with claim  13 , wherein said image processor enlarges or reduces the image of a document size selected by said selection operation unit to insert it into a single picture. 
     
         
       16. A photomontage system comprising: 
       an image reader for scanning a printed an image reader for scanning a printed photograph to sense a first image carried by the photograph in an area substantially equal to a maximum service size of a plurality of service sizes, and producing an image signal representing the first image;  
       a processor for combining the first image represented by the image signal with a second image prepared in advance to produce a combined image; and  
       a printer for printing the combined image on printing paper, said processor comprising:  
       a display circuit for having a display screen clipping at least part of the first image represented by the image signal with each of a plurality of frames corresponding to the plurality of service sizes without being enlarged or reduced to form a corresponding plurality of third images, and displaying the plurality of third images; in parallel with each other on the display screen, each of the second images being enclosed with corresponding one of the plurality of frames; and  
       a selection operation unit for selecting a desired service size of the first image, based on the plurality of third images displayed by said display circuit;  
       said processor processing one of the plurality of third images which corresponds to the one service size selected by said selection operation unit.  
     
         
       17. The system in accordance with claim  16 , further comprising a housing for placing therein said image reader, said processor and said printer, 
       said image reader comprising a flat-bed type scanner with a flat scanner surface on which the printed photogaph is placed, part of said scanner protruding from a surface of said housing, the protruding part including at least a portion of the scanner surface, on which the printed photograph of the maximum service size can be placed.  
     
         
       18. The system in accordance with claim  17 , wherein said image scanner comprises a paper depressor for pressing against the scanner surface the printed photograph placed thereon, 
       said paper depressor being capable of being opened and closed, and provided, on a surface opposite to the scanner surface, with border indications indicative of scanning fields associated with the service sizes, and with marks added outside the border indications to represent the service sizes, said border indications and marks being sensible by said image scanner in conjunction with the sensed image.  
     
         
       19. The system in accordance with claim  16 , wherein said selection operation unit comprises a touch panel which is provided over a screen of said display circuit, and by touching which the service size of the printed photograph, the combined image and a printing size are selected. 
     
         
       20. The system in accordance with claim  19 , wherein said processor supplies said printer with the combined images which said processor processes in response to operation of said selection operation unit, and said printer prints, in a plurality of printing sizes, the combined images supplied to the printer. 
     
         
       21. The system in accordance with claim  20 , wherein said processor combines, in a single combining processing, the first images sensed from a plurality of printed photographs by said image reader into a single picture. 
     
         
       22. The system in accordance with claim  21 , wherein said processor enlarges or reduces the one third image corresponding to the one service size selected by said selection operation unit to form a single picture. 
     
         
       23. The system in accordance with claim  16 , wherein said processor has said display circuit display, when selecting a service size, a plurality of frames of the service sizes to be handled, and display in said frames the third images which are clipped, in accordance with the service sizes, from the first image sensed by said image reader, and are applied to the frames, said processor carrying out combining processing of the one third image corresponding to the one service size selected by said selection operation unit from among the displayed third images, in accordance with the one service size selected. 
     
         
       24. The system in accordance with claim  23 , wherein said processor has said display circuit display the third images in said frames in a manner that they are rotatable together with the frames. 
     
         
       25. The system in accordance with claim  23 , wherein said processor has said display circuit display the combined image produced by combining the one third image corresponding to the one service size selected by said selection operation unit with the second image prepared in advance, said processor carrying out positioning, and enlargement or reduction of the one third image on said display circuit in response to operation of said selection operation unit. 
     
         
       26. The system in accordance with claim  16 , wherein said processor has said display circuit display, when selecting the service size, a plurality of frames whose sizes are determined in advance in accordance with the service sizes, and display in said frames the third images which are clipped, in accordance with the service sizes, from the first image sensed by said image reader, undergo scaling to nearly a same size, and are applied to said frames, said processor carrying out combining processing in response to the one third image corresponding to the one service size selected by said selection operation unit from among the third images displayed, in accordance with the one service size selected. 
     
         
       27. The system in accordance with claim  16 , wherein said processor has said display circuit display, when selecting the service size, said plurality of third images based on the first image sensed by said image reader in a manner that said first images are applied to a plurality of frames whose sizes are determined in advance in accordance with the service sizes of the printed photographs, and that first regions to be subjected to image processing and second regions not to be subjected to the image processing are distinguishably displayed in each of said frames, said processor carrying out combining processing in response to the one third image corresponding to the one service size selected by said selection operation unit from among the third images displayed, in accordance with the one service size selected. 
     
         
       28. The system in accordance with claim  27 , wherein said processor has said display circuit display said first regions and second regions with luminances different from each other. 
     
         
       29. The system in accordance with claim  27 , wherein said display circuit displays said first regions and second regions with shadowing either of said first and second regions."," An image processing system for processing an image carried on a document having a document size selected from a plurality of document sizes, comprising: 
       an image reader for sensing a first image carried on the document in an area substantially equal to a maximum document size of the plurality of document sizes, and producing an image signal representing the first image;  
       a display circuit having a display screen for clipping at least part of the first image represented by the image signal with each of a plurality of frames corresponding to the plurality of document sizes without being enlarged or reduced to form a corresponding plurality of second images, and displaying the plurality of second images in parallel with each other on the display screen, each of the second images being enclosed with corresponding one of the plurality of frames;  
       a selection operation unit for selecting one of the plurality of second images displayed by said display circuit; and  
       an image processor for processing the one second image selected by said selection operation unit in accordance with the document size corresponding to the frame with which the one second image is formed in combination.  ",human
