publication_number,title,claim1,label
US-6430053-B1,Pluggable transceiver module having rotatable release and removal lever with living hinge,"A pluggable transceiver module configured for insertion and extraction from a host receptacle, the module comprising:
    a module housing configured for insertion and extraction from a host receptacle, the module housing having an electrical interface configured to engage a corresponding electrical interface of the host receptacle; and
    a lever pivotally connected to the module housing, the lever comprising an actuation portion external to the module housing when the module housing is inserted into the host receptacle, the lever configured to rotate, thereby facilitating release and removal of the module from the host receptacle;
    wherein the lever includes a living hinge integrally formed with a body of the lever, the living hinge establishing a pivot axis for pivoting of the lever relative to the module housing.",refine
US-6663803-B1,Fabrication of a fractally attributively delamination resistive composite structure,"A method for fabricating a composite structure with fractal attributes that confer delamination resistance, the method comprising:
supplying a plurality of layers comprising composite materials;
creating at least one interface between at least two adjacent layers of the plurality of layers, wherein the at least one interface exhibits a fractal geometry;
stacking the plurality of layers, incorporating said at least one interface having fractal geometry;
consolidating the stacked layers to yield an integrated composite structure;
wherein the fractal geometry of the at least one interface imparts fractal characteristics to the integrated composite structure, thereby enhancing its delamination resistance.",refine
US-6424590-B1,Semiconductor device,"A semiconductor device, comprising:
a semiconductor substrate;
a channel region disposed within the semiconductor substrate;
a three-dimensional gate structure laterally surrounding the channel region;
a composite high-k gate dielectric layer interposed between the three-dimensional gate structure and the channel region;
source and drain regions formed in the semiconductor substrate proximate to the channel region; and
multiple metallic contacts electrically connected to the source region and the drain region, respectively, wherein at least one of said metallic contacts overlaps a segment of the three-dimensional gate structure.",refine
US-6174448-B1,Method for stripping aluminum from a diffusion coating,"A method for stripping aluminum from a diffusion coating, comprising:
contacting a substrate bearing a diffusion coating on its surface, the diffusion coating containing aluminum, using a stripping solution;
wherein the stripping solution is an acidic composition comprising phosphoric acid and at least one fluoride-containing compound;
maintaining the contact at an elevated temperature for a period sufficient to remove at least a portion of the aluminum from the diffusion coating; and
subsequently rinsing the substrate to eliminate the stripping solution and any detached aluminum.",refine
US-7828399-B1,Universal locker system,"A comprehensive locker system, including:
multiple independently lockable storage compartments;
an electronic locking mechanism for each of the multiple independently lockable storage compartments;
a main locker controller coupled to each electronic locking mechanism;
one or more user interface modules coupled to the main locker controller, the one or more user interface modules adapted to obtain an access credential from a user;
a display unit coupled to the main locker controller, the display unit adapted to show information to a user; and
a communication interface coupled to the main locker controller, the communication interface arranged for communication with an external server;
wherein the main locker controller is arranged to:
obtain the access credential from the one or more user interface modules;
validate the received access credential;
allocate one of the multiple independently lockable storage compartments to the user contingent on the validated access credential and compartment availability; and
electronically enable access to the assigned independently lockable storage compartment through its electronic locking mechanism following successful validation of the access credential.",refine
US-6226105-B1,System for processing images by selecting appropriate document size,"A system for processing images by selecting an appropriate document size, the system comprising:
an image input interface adapted to acquire image data;
a processing unit coupled to the image input interface;
a memory coupled to the processing unit, the memory storing instructions and a set of predefined document size criteria;
wherein the processing unit is configured to execute instructions to:
ascertain one or more characteristics of the image content from the received image data;
compare the ascertained image characteristics against the stored predefined document size criteria;
choose a suitable document size from a plurality of available document sizes based on the comparison;
process the image data according to the chosen document size; and
output the processed image data.",refine
US-6249393-B1,Disk drive having a write condition detector for suspending write operations while a transducer flying height deviates from its operating flying height,"A disk drive comprising:
a storage disk;
a transducer adapted to perform write operations to the storage disk;
a controller arranged to manage the write operations; and
a write condition detector interfaced with said transducer and said controller, said write condition detector configured to identify when a flying height of said transducer deviates from a predetermined operating flying height and, responsive to said identification, instruct said controller to suspend said write operations.",refine
US-6295493-B1,Vehicle roll rigidity control device,"A vehicle roll rigidity control system, comprising:
a sensor configured to sense one or more vehicle operating parameters reflecting a vehicle roll state;
a controller in communication with the sensor, configured to determine a target roll rigidity based on said one or more vehicle operating parameters; and
an actuator in communication with the controller, configured to modify the roll rigidity of the vehicle responsive to the target roll rigidity.",refine
US-6563821-B1,Channel bonding in a remote communications server system,"A remote communications server system, comprising:
    a plurality of communication interfaces, each of which is configured to establish a separate communication channel with a remote client;
    a processing unit functionally coupled to said plurality of communication interfaces;
    a memory functionally coupled to the processing unit, said memory storing program instructions;
    a channel bonding module, implemented by the processing unit, configured to combine said plurality of separate communication channels into a single logical connection for data exchange with the remote client;
    said channel bonding module further arranged to distribute outgoing data across said plurality of separate communication channels pursuant to a predetermined load-balancing scheme; and
    said channel bonding module additionally configured to reassemble incoming data received over said plurality of separate communication channels into a coherent data stream for processing by the remote communications server system.",refine
US-7328841-B1,Method and system for transaction authorization,"A method for transaction authorization, comprising:
receiving, by a computing system, a transaction authorization request linked to a transaction initiated by a user;
obtaining, by the computing system, transaction details pertinent to the transaction and user authentication data for the user;
conducting, by the computing system, an authorization assessment utilizing the obtained transaction details and user authentication data;
establishing, by the computing system, an authorization decision derived from the authorization assessment;
forwarding, by the computing system, the authorization decision to an originating entity for the transaction; and
logging, by the computing system, the transaction details and the authorization decision into a secure data repository.",refine
